SEMANA;FECHA;CIA;#ORDEN ;SOLICITANTE;UNIDAD;VEHICULO;#PLACA;KM ACTUAL;ULT KM;KM RECORRIDOS;DIFERENCIA RECORRIDA;VALOR COMBUST;VALOR RECORRIDO;SOLICITADO ;ABASTECIDO;DIFERENCIA;TOTAL VALOR LPS;OBSERVACION 1;OBSERVACION 2;COMBUSTIBLE ;DENOMINACION ;PROVEEDOR;AUDITADO POR ;MES;AÑO
SEMANA-41;6/10/2025;INVERSIONES S&S de R.L;7758;DESPACHOS;23;TOYOTA HIACE ;HDZ-4103;278977;278977;0;0;85.09;0;4;4;0;340.36; 3/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-40;4/10/2025;INVERSIONES S&S de R.L;33250;DESPACHOS;HDV-0608;ISUZU NPR (BLANCO);HDV-0608;272698;272698;0;0;85.09;0;28;28;0;2382.52;3/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-40;4/10/2025;INVERSIONES S&S de R.L;33355;DESPACHOS;19;TOYOTA HIACE ;HDA-0413;445060;445060;0;0;85.09;0;14;14;0;1191.26; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;31/10/2025;INVERSIONES S&S de R.L;33344;DESPACHOS;FTR;ISUZU FTR (VIEJO);TCH-0089;3930483;3930483;0;0;85.17;0;40;30;-10;2555.1;2/4 M;EXCESO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;31/10/2025;INVERSIONES S&S de R.L;33343;DESPACHOS;C-06;ISUZU NPR (BLANCO);JAB-2827;188169;188169;0;0;85.17;0;24;24;0;2044.08;2/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;31/10/2025;INVERSIONES S&S de R.L;33341;DESPACHOS;HDV-0608;ISUZU NPR (BLANCO);HDV-0608;271731;271731;0;0;85.17;0;15;15;0;1277.55;1    ;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;31/10/2025;INVERSIONES S&S de R.L;33340;DESPACHOS;26;TOYOTA HIACE ;JAB-1487;104929;104929;0;0;85.17;0;15;14.2;-0.8;1209.414; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;31/10/2025;INVERSIONES S&S de R.L;33345;DESPACHOS;25;TOYOTA HIACE ;HCO-4650;306946;306946;0;0;85.17;0;14;14;0;1192.38; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;31/10/2025;INVERSIONES S&S de R.L;33339;DESPACHOS;24;TOYOTA HIACE ;HCO-4654;333040;333040;0;0;85.17;0;9;9;0;766.53; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33338;DESPACHOS;23;TOYOTA HIACE ;HDZ-4103;277473;277473;0;0;85.17;0;11;11;0;936.87;1/4 M;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33324;DESPACHOS;JAK-3069;CAMION FVR NUEVO;JAK-3069;131377;131377;0;0;85.17;0;45;45;0;3832.65; 1/2;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33322;DESPACHOS;C-07;ISUZU NPR (BLANCO);JAD-6907;188262;188262;0;0;85.17;0;28;28;0;2384.76;2/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33323;DESPACHOS;C-06;ISUZU NPR (BLANCO);JAB-2827;187480;187480;0;0;85.17;0;35;32.2;-2.8;2742.474;2/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33325;DESPACHOS;HDV-0608;ISUZU NPR (BLANCO);HDV-0608;271480;271480;0;0;85.17;0;25;25;0;2129.25; 1/4;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33321;DESPACHOS;C-05;ISUZU NPR (BLANCO);HDV-0606;271882;271882;0;0;85.17;0;8;8;0;681.36;1    ;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;7738;MANTENIMIENTO;P-13;KIA K700 MANTENIMIENTO;ene-03;47295;0;47295;4028115.15;85.17;4028115.15;16;8;-8;681.36;1/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33329;COMPRAS Y SUMINISTROS;P-09;KIA K2700 PROYECTOS;JAI-8475;53000;53000;0;0;85.17;0;6;6;0;511.02; 1/4;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33320;DESPACHOS;26;TOYOTA HIACE ;JAB-1487;104305;104305;0;0;85.17;0;4;4;0;340.68; 3/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;7736;DESPACHOS;25;TOYOTA HIACE ;HCO-4650;306467;306467;0;0;85.17;0;9;9;0;766.53; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33318;DESPACHOS;24;TOYOTA HIACE ;HCO-4654;332838;332838;0;0;85.17;0;11;11;0;936.87; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;7735;DESPACHOS;23;TOYOTA HIACE ;HDZ-4103;277087;277087;0;0;85.17;0;10;10;0;851.7; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33316;DESPACHOS;22;TOYOTA HIACE ;HDL-8233;355200;355200;0;0;85.17;0;11;11;0;936.87; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33315;DESPACHOS;19;TOYOTA HIACE ;HDA-0413;443584;443584;0;0;85.17;0;15;15;0;1277.55; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;29/10/2025;INVERSIONES S&S de R.L;7732;DESPACHOS;FVR;ISUZU FVR (NUEVO);HBB-4505;416398;416398;0;0;85.17;0;50;48;-2;4088.16; 1/2;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;29/10/2025;INVERSIONES S&S de R.L;33197;DESPACHOS;JAK-3069;CAMION FVR NUEVO;JAK-3069;130762;130762;0;0;85.17;0;52;52;0;4428.84;1/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;29/10/2025;INVERSIONES S&S de R.L;33198;DESPACHOS;C-06;ISUZU NPR (BLANCO);JAB-2827;186759;186759;0;0;85.17;0;35;35;0;2980.95; 1/2;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;29/10/2025;INVERSIONES S&S de R.L;33200;DESPACHOS;HDV-0608;ISUZU NPR (BLANCO);HDV-0608;271138;271138;0;0;85.17;0;35;35;0;2980.95; 3/4;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;29/10/2025;INVERSIONES S&S de R.L;33199;DESPACHOS;C-05;ISUZU NPR (BLANCO);HDV-0606;271715;271715;0;0;85.17;0;25;25;0;2129.25; 3/4;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;29/10/2025;INVERSIONES S&S de R.L;33301;DESPACHOS;26;TOYOTA HIACE ;JAB-1487;104106;104106;0;0;85.17;0;13;12.6;-0.4;1073.142; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;29/10/2025;INVERSIONES S&S de R.L;33302;DESPACHOS;25;TOYOTA HIACE ;HCO-4650;306106;306106;0;0;85.17;0;13;13;0;1107.21; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;29/10/2025;INVERSIONES S&S de R.L;7734;DESPACHOS;24;TOYOTA HIACE ;HCO-4654;332363;332363;0;0;85.17;0;11;11;0;936.87; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;29/10/2025;INVERSIONES S&S de R.L;33303;DESPACHOS;23;TOYOTA HIACE ;HDZ-4103;276613;276613;0;0;85.17;0;14;13.5;-0.5;1149.795; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;29/10/2025;INVERSIONES S&S de R.L;33304;DESPACHOS;22;TOYOTA HIACE ;HDL-8233;354769;354769;0;0;85.17;0;6;6;0;511.02; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;29/10/2025;INVERSIONES S&S de R.L;33196;DESPACHOS;21;TOYOTA HIACE ;HDA-0865;134960;134960;0;0;85.17;0;13;13;0;1107.21; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;29/10/2025;INVERSIONES S&S de R.L;33309;DESPACHOS;20;TOYOTA HIACE ;HDA-0412;441097;441097;0;0;85.17;0;14;14;0;1192.38; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;29/10/2025;INVERSIONES S&S de R.L;7733;DESPACHOS;19;TOYOTA HIACE ;HDA-0413;443100;443100;0;0;85.17;0;15;14.7;-0.3;1251.999; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;28/10/2025;INVERSIONES S&S de R.L;33188;DESPACHOS;HDV-0608;ISUZU NPR (BLANCO);HDV-0608;270572;270572;0;0;85.17;0;25;25;0;2129.25;2/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;28/10/2025;INVERSIONES S&S de R.L;33190;DESPACHOS;JAK-3069;CAMION FVR NUEVO;JAK-3069;130051;130051;0;0;85.17;0;54;54;0;4599.18;1/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;28/10/2025;INVERSIONES S&S de R.L;33187;DESPACHOS;FTR;ISUZU FTR (VIEJO);TCH-0089;392988;392988;0;0;85.17;0;40;40;0;3406.8;1/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;28/10/2025;INVERSIONES S&S de R.L;33186;DESPACHOS;27;TOYOTA HIACE ;JAB-1485;105660;105660;0;0;85.17;0;14;12.8;-1.2;1090.176; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;28/10/2025;INVERSIONES S&S de R.L;33183;DESPACHOS;23;TOYOTA HIACE ;HDZ-4103;276141;276141;0;0;85.17;0;6;6;0;511.02;2/4 M;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;28/10/2025;INVERSIONES S&S de R.L;33184;DESPACHOS;24;TOYOTA HIACE ;HCO-4654;332001;332001;0;0;85.17;0;4;4;0;340.68; 3/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;28/10/2025;INVERSIONES S&S de R.L;33181;DESPACHOS;19;TOYOTA HIACE ;HDA-0413;442642;442642;0;0;85.17;0;11;11;0;936.87; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;28/10/2025;INVERSIONES S&S de R.L;33191;DESPACHOS;21;TOYOTA HIACE ;HDA-0865;134484;134484;0;0;85.17;0;14;14;0;1192.38; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;28/10/2025;INVERSIONES S&S de R.L;33185;DESPACHOS;25;TOYOTA HIACE ;HCO-4650;305633;305633;0;0;85.17;0;14;14;0;1192.38; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;28/10/2025;INVERSIONES S&S de R.L;7727;DESPACHOS;22;TOYOTA HIACE ;HDL-8233;354429;354429;0;0;85.17;0;9;6.6;-2.4;562.122;2/4 M;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;28/10/2025;INVERSIONES S&S de R.L;33180;DESPACHOS;C-05;ISUZU NPR (BLANCO);HDV-0606;271170;271170;0;0;85.17;0;25;25;0;2129.25; 1/2;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;27/10/2025;INVERSIONES S&S de R.L;33158;DESPACHOS;C-07;ISUZU NPR (BLANCO);JAD-6907;187574;187574;0;0;85.17;0;25;25;0;2129.25; 1/2;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;ELVIS ZELAYA;OCTUBRE;2025
SEMANA-44;27/10/2025;INVERSIONES S&S de R.L;33157;DESPACHOS;C-06;ISUZU NPR (BLANCO);JAB-2827;186039;186039;0;0;85.17;0;30;30;0;2555.1; 1/2;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;ELVIS ZELAYA;OCTUBRE;2025
SEMANA-44;27/10/2025;INVERSIONES S&S de R.L;33160;DESPACHOS;26;TOYOTA HIACE ;JAB-1487;103646;103646;0;0;85.17;0;14;13.6;-0.4;1158.312; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;ELVIS ZELAYA;OCTUBRE;2025
SEMANA-44;27/10/2025;INVERSIONES S&S de R.L;33162;DESPACHOS;20;TOYOTA HIACE ;HDA-0412;440619;440619;0;0;85.17;0;13;13;0;1107.21; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;ELVIS ZELAYA;OCTUBRE;2025
SEMANA-44;27/10/2025;INVERSIONES S&S de R.L;33159;DESPACHOS;HDV-0608;ISUZU NPR (BLANCO);HDV-0608;269795;269795;0;0;85.17;0;10;10;0;851.7; 1/2;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;ELVIS ZELAYA;OCTUBRE;2025
SEMANA-44;27/10/2025;INVERSIONES S&S de R.L;33161;DESPACHOS;23;TOYOTA HIACE ;HDZ-4103;275872;275872;0;0;85.17;0;5;5;0;425.85; 3/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;ELVIS ZELAYA;OCTUBRE;2025
SEMANA-44;27/10/2025;INVERSIONES S&S de R.L;7724;DESPACHOS;22;TOYOTA HIACE ;HDL-8233;359124;359124;0;0;85.17;0;13;12.6;-0.4;1073.142; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;ELVIS ZELAYA;OCTUBRE;2025
SEMANA-44;27/10/2025;INVERSIONES S&S de R.L;7723;DESPACHOS;24;TOYOTA HIACE ;HCO-4654;331774;331774;0;0;85.17;0;14;13.9;-0.1;1183.863; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;ELVIS ZELAYA;OCTUBRE;2025
SEMANA-44;27/10/2025;INVERSIONES S&S de R.L;33163;DESPACHOS;19;TOYOTA HIACE ;HDA-0413;442260;442260;0;0;85.17;0;11;10.7;-0.3;911.319;1/4 M;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;ELVIS ZELAYA;OCTUBRE;2025
SEMANA-44;27/10/2025;INVERSIONES S&S de R.L;7722;DESPACHOS;25;TOYOTA HIACE ;HCO-4650;304856;304856;0;0;85.17;0;5;4.8;-0.2;408.816; 3/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;ELVIS ZELAYA;OCTUBRE;2025
SEMANA-44;26/10/2025;INVERSIONES S&S de R.L;7719;DESPACHOS;FVR;ISUZU FVR (NUEVO);HBB-4505;415728;415728;0;0;85.67;0;60;60;0;5140.2; 1/4;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;26/10/2025;INVERSIONES S&S de R.L;33142;DESPACHOS;JAK-3069;CAMION FVR NUEVO;JAK-3069;129115;129115;0;0;85.67;0;48;48;0;4112.16;1/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;26/10/2025;INVERSIONES S&S de R.L;33144;DESPACHOS;C-06;ISUZU NPR (BLANCO);JAB-2827;185552;185552;0;0;85.67;0;25;25;0;2141.75;1/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;26/10/2025;INVERSIONES S&S de R.L;33146;DESPACHOS;HDV-0608;ISUZU NPR (BLANCO);HDV-0608;269489;269489;0;0;85.67;0;24;24;0;2056.08; 3/4;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;26/10/2025;INVERSIONES S&S de R.L;7718;DESPACHOS;P-16;KIA P-16;JAX-8299;6008;6008;0;0;85.67;0;11;10.6;-0.4;908.102; 1/4;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;26/10/2025;INVERSIONES S&S de R.L;33145;DESPACHOS;26;TOYOTA HIACE ;JAB-1487;103139;103139;0;0;85.67;0;13;11.1;-1.9;950.937; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;26/10/2025;INVERSIONES S&S de R.L;7721;DESPACHOS;25;TOYOTA HIACE ;HCO-4650;304689;304689;0;0;85.67;0;10;10;0;856.7; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;26/10/2025;INVERSIONES S&S de R.L;33148;DESPACHOS;24;TOYOTA HIACE ;HCO-4654;331303;331303;0;0;85.67;0;14;14;0;1199.38; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;26/10/2025;INVERSIONES S&S de R.L;33150;DESPACHOS;23;TOYOTA HIACE ;HDZ-4103;275680;275680;0;0;85.67;0;13;11.5;-1.5;985.205; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;26/10/2025;INVERSIONES S&S de R.L;33151;DESPACHOS;22;TOYOTA HIACE ;HDL-8233;33151;33151;0;0;85.67;0;10;10;0;856.7;1/4 M;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;26/10/2025;INVERSIONES S&S de R.L;33152;DESPACHOS;19;TOYOTA HIACE ;HDA-0413;441934;441934;0;0;85.67;0;15;15;0;1285.05; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;25/10/2025;INVERSIONES S&S de R.L;33135;DESPACHOS;24;TOYOTA HIACE ;HCO-4654;330638;330638;0;0;85.67;0;13;12.5;-0.5;1070.875; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;25/10/2025;INVERSIONES S&S de R.L;33137;DESPACHOS;22;TOYOTA HIACE ;HDL-8233;352721;352721;0;0;85.67;0;9;9;0;771.03; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;25/10/2025;INVERSIONES S&S de R.L;33136;DESPACHOS;23;TOYOTA HIACE ;HDZ-4103;275209;275209;0;0;85.67;0;9;7.8;-1.2;668.226;2/4 M;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;25/10/2025;INVERSIONES S&S de R.L;7716;DESPACHOS;26;TOYOTA HIACE ;JAB-1487;102754;102754;0;0;85.67;0;14;14;0;1199.38; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;25/10/2025;INVERSIONES S&S de R.L;7717;DESPACHOS;25;TOYOTA HIACE ;HCO-4650;304289;304289;0;0;85.67;0;14;13.7;-0.3;1173.679; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;25/10/2025;INVERSIONES S&S de R.L;7715;DESPACHOS;C-07;ISUZU NPR (BLANCO);JAD-6907;186601;186601;0;0;85.67;0;24;24;0;2056.08; 3/4;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;25/10/2025;INVERSIONES S&S de R.L;33133;DESPACHOS;C-06;ISUZU NPR (BLANCO);JAB-2827;185027;185027;0;0;85.67;0;25;25;0;2141.75; 3/4;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;24/10/2025;INVERSIONES S&S de R.L;7714;DESPACHOS;FVR;ISUZU FVR (NUEVO);HBB-4505;415013;415013;0;0;85.67;0;65;65;0;5568.55; 1/2;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;24/10/2025;INVERSIONES S&S de R.L;33116;DESPACHOS;19;TOYOTA HIACE ;HDA-0413;441436;441436;0;0;85.67;0;15;14.5;-0.5;1242.215; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;24/10/2025;INVERSIONES S&S de R.L;33121;DESPACHOS;26;TOYOTA HIACE ;JAB-1487;102263;102263;0;0;85.67;0;10;10;0;856.7;1/4 M;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;24/10/2025;INVERSIONES S&S de R.L;33127;DESPACHOS;13;TOYOTA HIACE ;HAB-4625;435294;435294;0;0;85.67;0;10;10;0;856.7; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;24/10/2025;INVERSIONES S&S de R.L;331243;DESPACHOS;HDV-0608;ISUZU NPR (BLANCO);HDV-0608;268975;268975;0;0;85.67;0;23;22;-1;1884.74; 1/2;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;24/10/2025;INVERSIONES S&S de R.L;33118;DESPACHOS;25;TOYOTA HIACE ;HCO-4650;303480;303480;0;0;85.67;0;14;13.4;-0.6;1147.978; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;24/10/2025;INVERSIONES S&S de R.L;33117;DESPACHOS;22;TOYOTA HIACE ;HDL-8233;352408;352408;0;0;85.67;0;2;2;0;171.34;3/4 M;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;24/10/2025;INVERSIONES S&S de R.L;33120;DESPACHOS;23;TOYOTA HIACE ;HDZ-4103;274892;274892;0;0;85.67;0;11;8.8;-2.2;753.896; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;24/10/2025;INVERSIONES S&S de R.L;33119;DESPACHOS;24;TOYOTA HIACE ;HCO-4654;330190;330190;0;0;85.67;0;12;12;0;1028.04; 1/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;24/10/2025;INVERSIONES S&S de R.L;33123;DESPACHOS;C-06;ISUZU NPR (BLANCO);JAB-2827;184136;184136;0;0;85.67;0;38;38;0;3255.46; 1/2;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;24/10/2025;INVERSIONES S&S de R.L;33129;DESPACHOS;JAK-3069;CAMION FVR NUEVO;JAK-3069;128459;128459;0;0;85.67;0;35;35;0;2998.45;2/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;23/10/2025;INVERSIONES S&S de R.L;33107;DESPACHOS;24;TOYOTA HIACE ;HCO-4654;329773;329773;0;0;85.67;0;14;14;0;1199.38; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;23/10/2025;INVERSIONES S&S de R.L;33110;DESPACHOS;22;TOYOTA HIACE ;HDL-8233;352324;352324;0;0;85.67;0;6;6;0;514.02; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;23/10/2025;INVERSIONES S&S de R.L;33106;DESPACHOS;25;TOYOTA HIACE ;HCO-4650;303015;303015;0;0;85.67;0;13;12.6;-0.4;1079.442; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-43;23/10/2025;INVERSIONES S&S de R.L;33105;DESPACHOS;26;TOYOTA HIACE ;JAB-1487;101911;101911;0;0;85.67;0;14;11.7;-2.3;1002.339; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
